Label,Flags,Avg Time (s),Std Time (s),Speedup vs O3,PSNR
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL+COMPILER_ASSIST],-DLOOP_SWAP -DLOOP_UNROLL -DCOMPILER_ASSIST,0.008250647,0.00011102438731598067,25.237887404466584,inf
O3_ZNVER4_C4[LOOP_SWAP+LOOP_UNROLL+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.00853285,0.00015502653206610954,24.40320643161429,inf
O3_ZNVER4_C4[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST,0.008780261000000001,0.000253971714936482,23.71557064192055,inf
O3_ZNVER4_C5[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.008897077,0.00045023527967916714,23.404192185815635,inf
O3_ZNVER4_ALLDEFS,-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.00913461,0.00017404068387720292,22.795598279510564,inf
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DSTRENGTH_REDUCTION,0.009782326000000001,0.00020863590248191834,21.28623601380694,inf
O3_ZNVER4_C2[LOOP_SWAP+LOOP_UNROLL],-DLOOP_SWAP -DLOOP_UNROLL,0.01100836,0.00033867252029061944,18.91552420160678,inf
O3_ZNVER4_C4[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.011532839999999999,0.0006717033475509192,18.055301209415894,inf
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2,0.01153974,0.0006434016029407035,18.044505335475495,inf
O3_ZNVER4_C3[LOOP_SWAP+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.03162123,0.0004274171863907917,6.58509804963311,inf
