Label,Flags,Avg Time (s),Std Time (s),Speedup vs O3,PSNR
O3_ZNVER4,-DLOOP_SWAP,0.08478983,0.0019740627526049475,2.455824006251693,inf
O3_ZNVER4,-DLOOP_UNROLL,0.1910049,0.0030371761171632196,1.090175697063269,inf
O3_ZNVER4,,0.2082289,0.0020800498631843747,1.0,inf
O3_ZNVER4,-DSTRENGTH_REDUCTION,0.2301059,0.003115980083020072,0.9049263838954151,inf
O3_ZNVER4,-DLOOP_UNROLL2,0.2518816,0.005433816547019849,0.8266935734884963,inf
O3_ZNVER4,-DCOMPILER_ASSIST,0.2949137,0.004827951441576667,0.7060672325497256,inf
O0,-DSTRENGTH_REDUCTION,0.5534191,0.006206543723272144,0.3762589690164289,inf
O0,-DLOOP_UNROLL,0.7998007,0.012851080249016692,0.26035098493912295,inf
O0,-DLOOP_SWAP,1.0020244,0.008556884884894351,0.2078082130534945,inf
O0,-DCOMPILER_ASSIST,1.09417,0.008751403696931497,0.19030763044133908,inf
O0,,1.094637,0.0064891277448427915,0.19022644036333505,inf
O0,-DLOOP_UNROLL2,1.100363,0.006412985177660188,0.18923655193786051,inf
